time,open,high,low,close,time
2021-11-19 08:54:00,1.3499949999999998,1.3499949999999998,1.3492899999999999,1.349345,2021-11-19 08:54:00
2021-11-19 08:57:00,1.34945,1.3496000000000001,1.349065,1.3491300000000002,2021-11-19 08:57:00
2021-11-19 09:00:00,1.34912,1.3496700000000001,1.34912,1.349275,2021-11-19 09:00:00
2021-11-19 09:03:00,1.3493149999999998,1.3493499999999998,1.349,1.3493499999999998,2021-11-19 09:03:00
2021-11-19 09:06:00,1.349375,1.3495300000000001,1.34912,1.34912,2021-11-19 09:06:00
2021-11-19 09:09:00,1.349105,1.3492199999999999,1.3489200000000001,1.3492099999999998,2021-11-19 09:09:00
2021-11-19 09:12:00,1.3491300000000002,1.349445,1.34911,1.349445,2021-11-19 09:12:00
2021-11-19 09:15:00,1.3494350000000002,1.34975,1.34937,1.34975,2021-11-19 09:15:00
2021-11-19 09:18:00,1.349535,1.349585,1.34909,1.349395,2021-11-19 09:18:00
2021-11-19 09:21:00,1.3491900000000001,1.34923,1.3489849999999999,1.34909,2021-11-19 09:21:00
2021-11-19 09:24:00,1.34913,1.34913,1.348795,1.34889,2021-11-19 09:24:00
2021-11-19 09:27:00,1.3488,1.34894,1.3488,1.34882,2021-11-19 09:27:00
2021-11-19 09:30:00,1.34882,1.34916,1.34869,1.34869,2021-11-19 09:30:00
2021-11-19 09:33:00,1.34869,1.348695,1.34804,1.3484099999999999,2021-11-19 09:33:00
2021-11-19 09:36:00,1.34839,1.34839,1.34801,1.348055,2021-11-19 09:36:00
2021-11-19 09:39:00,1.3481049999999999,1.3481049999999999,1.34779,1.347835,2021-11-19 09:39:00
2021-11-19 09:42:00,1.34774,1.34836,1.347705,1.34835,2021-11-19 09:42:00
2021-11-19 09:45:00,1.3479100000000002,1.3479100000000002,1.347105,1.347105,2021-11-19 09:45:00
2021-11-19 09:48:00,1.3471000000000002,1.3471199999999999,1.3470149999999999,1.3470149999999999,2021-11-19 09:48:00
2021-11-19 09:51:00,1.346635,1.3467,1.346525,1.3467,2021-11-19 09:51:00
2021-11-19 10:18:00,1.344635,1.34467,1.344635,1.344635,2021-11-19 10:18:00
2021-11-19 10:24:00,1.3448250000000002,1.34487,1.344465,1.3445,2021-11-19 10:24:00
2021-11-19 10:27:00,1.3431199999999999,1.3431199999999999,1.3431199999999999,1.3431199999999999,2021-11-19 10:27:00
2021-11-19 10:30:00,1.34453,1.34453,1.34453,1.34453,2021-11-19 10:30:00
2021-11-19 10:33:00,1.343445,1.343445,1.343445,1.343445,2021-11-19 10:33:00
2021-11-19 10:36:00,1.34313,1.34313,1.34313,1.34313,2021-11-19 10:36:00
2021-11-19 10:39:00,1.34302,1.34302,1.34302,1.34302,2021-11-19 10:39:00
2021-11-19 10:42:00,1.34361,1.34361,1.34361,1.34361,2021-11-19 10:42:00
2021-11-19 10:45:00,1.3438,1.3438,1.3438,1.3438,2021-11-19 10:45:00
2021-11-19 10:48:00,1.343205,1.343205,1.343205,1.343205,2021-11-19 10:48:00
2021-11-19 10:51:00,1.34315,1.34315,1.34315,1.34315,2021-11-19 10:51:00
2021-11-19 10:54:00,1.3421850000000002,1.3421850000000002,1.3421850000000002,1.3421850000000002,2021-11-19 10:54:00
2021-11-19 10:57:00,1.343315,1.343315,1.343315,1.343315,2021-11-19 10:57:00
2021-11-19 11:00:00,1.3430149999999998,1.3430149999999998,1.3430149999999998,1.3430149999999998,2021-11-19 11:00:00
2021-11-19 11:06:00,1.3417249999999998,1.3417249999999998,1.3415949999999999,1.3415949999999999,2021-11-19 11:06:00
2021-11-19 11:09:00,1.3414700000000002,1.3414700000000002,1.3414700000000002,1.3414700000000002,2021-11-19 11:09:00
2021-11-19 11:15:00,1.34103,1.341605,1.34103,1.341605,2021-11-19 11:15:00
2021-11-19 11:18:00,1.3412250000000001,1.3412250000000001,1.3412250000000001,1.3412250000000001,2021-11-19 11:18:00
2021-11-19 11:21:00,1.341425,1.341425,1.341425,1.341425,2021-11-19 11:21:00
2021-11-19 11:27:00,1.341275,1.341275,1.341275,1.341275,2021-11-19 11:27:00
2021-11-19 11:30:00,1.3418100000000002,1.3418100000000002,1.3418100000000002,1.3418100000000002,2021-11-19 11:30:00
2021-11-19 11:33:00,1.34182,1.34199,1.34182,1.34199,2021-11-19 11:33:00
2021-11-19 11:36:00,1.3416100000000002,1.3416100000000002,1.3416100000000002,1.3416100000000002,2021-11-19 11:36:00
2021-11-19 11:39:00,1.34241,1.34241,1.34241,1.34241,2021-11-19 11:39:00
2021-11-19 11:42:00,1.34215,1.34215,1.34215,1.34215,2021-11-19 11:42:00
2021-11-19 11:48:00,1.342425,1.342425,1.342425,1.342425,2021-11-19 11:48:00
2021-11-19 11:51:00,1.3420299999999998,1.3420299999999998,1.3420299999999998,1.3420299999999998,2021-11-19 11:51:00
2021-11-19 11:54:00,1.3426399999999998,1.3426399999999998,1.3426399999999998,1.3426399999999998,2021-11-19 11:54:00
